BreakerId,ActiveEnergy,timestamp
4,1027940,2026-02-27T19:00:01.519
5,556363,2026-02-27T19:00:01.519
6,0,2026-02-27T19:00:01.519
7,13320,2026-02-27T19:00:01.519
1,992493,2026-02-27T20:00:01.551
2,18364,2026-02-27T20:00:01.552
3,433176,2026-02-27T20:00:01.552
4,1027970,2026-02-27T20:00:01.552
5,556383,2026-02-27T20:00:01.552
6,0,2026-02-27T20:00:01.552
7,13320,2026-02-27T20:00:01.552
1,992509,2026-02-27T21:00:01.513
2,18379,2026-02-27T21:00:01.514
3,433176,2026-02-27T21:00:01.514
4,1028000,2026-02-27T21:00:01.514
5,556402,2026-02-27T21:00:01.514
6,0,2026-02-27T21:00:01.514
7,13320,2026-02-27T21:00:01.514
1,992525,2026-02-27T22:00:01.815
2,18393,2026-02-27T22:00:01.815
3,433176,2026-02-27T22:00:01.815
4,1028030,2026-02-27T22:00:01.815
5,556420,2026-02-27T22:00:01.815
6,0,2026-02-27T22:00:01.815
7,13320,2026-02-27T22:00:01.815
1,992540,2026-02-27T23:00:01.609
2,18407,2026-02-27T23:00:01.609
3,433176,2026-02-27T23:00:01.609
4,1028060,2026-02-27T23:00:01.609
5,556441,2026-02-27T23:00:01.609
6,0,2026-02-27T23:00:01.609
7,13320,2026-02-27T23:00:01.609
1,992555,2026-02-28T00:00:01.578
2,18421,2026-02-28T00:00:01.578
3,433176,2026-02-28T00:00:01.578
4,1028090,2026-02-28T00:00:01.578
5,556459,2026-02-28T00:00:01.578
6,0,2026-02-28T00:00:01.578
7,13320,2026-02-28T00:00:01.578
1,992571,2026-02-28T01:00:01.594
2,18435,2026-02-28T01:00:01.594
3,433176,2026-02-28T01:00:01.594
4,1028120,2026-02-28T01:00:01.594
5,556478,2026-02-28T01:00:01.594
6,0,2026-02-28T01:00:01.594
7,13320,2026-02-28T01:00:01.594
1,992586,2026-02-28T02:00:01.641
2,18450,2026-02-28T02:00:01.641
3,433176,2026-02-28T02:00:01.641
4,1028150,2026-02-28T02:00:01.641
5,556498,2026-02-28T02:00:01.641
6,0,2026-02-28T02:00:01.641
7,13320,2026-02-28T02:00:01.641
1,992603,2026-02-28T03:00:01.567
2,18465,2026-02-28T03:00:01.567
3,433176,2026-02-28T03:00:01.567
4,1028180,2026-02-28T03:00:01.567
5,556517,2026-02-28T03:00:01.567
6,0,2026-02-28T03:00:01.567
7,13320,2026-02-28T03:00:01.567
1,992618,2026-02-28T04:00:01.640
2,18479,2026-02-28T04:00:01.641
3,433176,2026-02-28T04:00:01.641
4,1028200,2026-02-28T04:00:01.641
5,556536,2026-02-28T04:00:01.641
6,0,2026-02-28T04:00:01.641
7,13320,2026-02-28T04:00:01.641
1,992635,2026-02-28T05:00:01.803
2,18493,2026-02-28T05:00:01.803
3,433176,2026-02-28T05:00:01.803
4,1028230,2026-02-28T05:00:01.803
5,556556,2026-02-28T05:00:01.803
6,0,2026-02-28T05:00:01.803
7,13320,2026-02-28T05:00:01.803
1,992650,2026-02-28T06:00:01.574
2,18508,2026-02-28T06:00:01.574
3,433176,2026-02-28T06:00:01.574
4,1028260,2026-02-28T06:00:01.574
5,556575,2026-02-28T06:00:01.574
6,0,2026-02-28T06:00:01.574
7,13320,2026-02-28T06:00:01.574
1,992666,2026-02-28T07:00:01.549
2,18522,2026-02-28T07:00:01.549
3,433176,2026-02-28T07:00:01.549
4,1028290,2026-02-28T07:00:01.549
5,556593,2026-02-28T07:00:01.549
6,0,2026-02-28T07:00:01.549
7,13320,2026-02-28T07:00:01.549
1,992682,2026-02-28T08:00:01.621
2,18537,2026-02-28T08:00:01.621
3,433176,2026-02-28T08:00:01.621
4,1028320,2026-02-28T08:00:01.621
5,556612,2026-02-28T08:00:01.621
6,0,2026-02-28T08:00:01.621
7,13320,2026-02-28T08:00:01.621
1,992697,2026-02-28T09:00:01.521
2,18551,2026-02-28T09:00:01.521
3,433176,2026-02-28T09:00:01.521
4,1028340,2026-02-28T09:00:01.521
5,556633,2026-02-28T09:00:01.521
6,0,2026-02-28T09:00:01.521
7,13320,2026-02-28T09:00:01.521
1,992713,2026-02-28T10:00:01.598
2,18566,2026-02-28T10:00:01.598
3,433176,2026-02-28T10:00:01.599
4,1028350,2026-02-28T10:00:01.599
5,556652,2026-02-28T10:00:01.599
6,0,2026-02-28T10:00:01.599
7,13320,2026-02-28T10:00:01.599
1,992730,2026-02-28T11:00:01.661
2,18581,2026-02-28T11:00:01.662
3,433176,2026-02-28T11:00:01.662
4,1028370,2026-02-28T11:00:01.662
5,556670,2026-02-28T11:00:01.662
6,0,2026-02-28T11:00:01.662
7,13320,2026-02-28T11:00:01.662
1,992746,2026-02-28T12:00:01.779
2,18596,2026-02-28T12:00:01.780
3,433176,2026-02-28T12:00:01.780
4,1028380,2026-02-28T12:00:01.780
5,556691,2026-02-28T12:00:01.780
6,0,2026-02-28T12:00:01.780
7,13320,2026-02-28T12:00:01.780
1,992763,2026-02-28T13:00:01.572
2,18612,2026-02-28T13:00:01.572
3,433176,2026-02-28T13:00:01.572
4,1028400,2026-02-28T13:00:01.572
5,556710,2026-02-28T13:00:01.572
6,0,2026-02-28T13:00:01.572
7,13320,2026-02-28T13:00:01.572
1,992780,2026-02-28T14:00:01.544
2,18627,2026-02-28T14:00:01.544
3,433176,2026-02-28T14:00:01.544
4,1028410,2026-02-28T14:00:01.544
5,556728,2026-02-28T14:00:01.544
6,0,2026-02-28T14:00:01.544
7,13320,2026-02-28T14:00:01.544
1,992796,2026-02-28T15:00:01.611
2,18642,2026-02-28T15:00:01.612
3,433176,2026-02-28T15:00:01.612
4,1028420,2026-02-28T15:00:01.612
5,556749,2026-02-28T15:00:01.612
6,0,2026-02-28T15:00:01.612
7,13320,2026-02-28T15:00:01.612
1,992813,2026-02-28T16:00:01.558
2,18657,2026-02-28T16:00:01.558
3,433176,2026-02-28T16:00:01.558
4,1028440,2026-02-28T16:00:01.558
5,556768,2026-02-28T16:00:01.558
6,0,2026-02-28T16:00:01.558
7,13320,2026-02-28T16:00:01.558
1,992829,2026-02-28T17:00:01.517
2,18672,2026-02-28T17:00:01.517
3,433176,2026-02-28T17:00:01.517
4,1028460,2026-02-28T17:00:01.517
5,556787,2026-02-28T17:00:01.517
6,0,2026-02-28T17:00:01.517
7,13320,2026-02-28T17:00:01.517
1,992846,2026-02-28T18:00:01.553
2,18687,2026-02-28T18:00:01.553
3,433176,2026-02-28T18:00:01.554
4,1028490,2026-02-28T18:00:01.554
5,556807,2026-02-28T18:00:01.554
6,0,2026-02-28T18:00:01.554
7,13320,2026-02-28T18:00:01.554
1,992862,2026-02-28T19:00:01.606
2,18702,2026-02-28T19:00:01.606
3,433176,2026-02-28T19:00:01.606
4,1028520,2026-02-28T19:00:01.606
5,556826,2026-02-28T19:00:01.606
6,0,2026-02-28T19:00:01.606
7,13320,2026-02-28T19:00:01.606
1,992877,2026-02-28T20:00:01.552
2,18716,2026-02-28T20:00:01.552
3,433176,2026-02-28T20:00:01.552
4,1028550,2026-02-28T20:00:01.552
5,556844,2026-02-28T20:00:01.552
6,0,2026-02-28T20:00:01.552
7,13320,2026-02-28T20:00:01.552
1,992893,2026-02-28T21:00:01.545
2,18731,2026-02-28T21:00:01.545
3,433176,2026-02-28T21:00:01.545
4,1028580,2026-02-28T21:00:01.545
5,556865,2026-02-28T21:00:01.545
6,0,2026-02-28T21:00:01.545
7,13320,2026-02-28T21:00:01.545
1,992909,2026-02-28T22:00:01.559
2,18745,2026-02-28T22:00:01.559
3,433176,2026-02-28T22:00:01.559
4,1028610,2026-02-28T22:00:01.559
5,556883,2026-02-28T22:00:01.559
6,0,2026-02-28T22:00:01.559
7,13320,2026-02-28T22:00:01.559
1,992924,2026-02-28T23:00:01.814
2,18759,2026-02-28T23:00:01.814
3,433176,2026-02-28T23:00:01.814
4,1028640,2026-02-28T23:00:01.814
5,556902,2026-02-28T23:00:01.814
6,0,2026-02-28T23:00:01.814
7,13320,2026-02-28T23:00:01.814
1,992940,2026-03-01T00:00:01.554
2,18773,2026-03-01T00:00:01.554
3,433176,2026-03-01T00:00:01.554
4,1028670,2026-03-01T00:00:01.554
5,556922,2026-03-01T00:00:01.554
6,0,2026-03-01T00:00:01.554
7,13320,2026-03-01T00:00:01.554
1,992956,2026-03-01T01:00:01.576
2,18788,2026-03-01T01:00:01.576
3,433176,2026-03-01T01:00:01.576
4,1028700,2026-03-01T01:00:01.576
5,556941,2026-03-01T01:00:01.576
6,0,2026-03-01T01:00:01.576
7,13320,2026-03-01T01:00:01.576
1,992972,2026-03-01T02:00:01.555
2,18802,2026-03-01T02:00:01.555
3,433176,2026-03-01T02:00:01.555
4,1028720,2026-03-01T02:00:01.555
5,556959,2026-03-01T02:00:01.555
6,0,2026-03-01T02:00:01.555
7,13320,2026-03-01T02:00:01.555
1,992988,2026-03-01T03:00:01.551
2,18817,2026-03-01T03:00:01.552
3,433176,2026-03-01T03:00:01.552
4,1028760,2026-03-01T03:00:01.552
5,556980,2026-03-01T03:00:01.552
6,0,2026-03-01T03:00:01.552
7,13320,2026-03-01T03:00:01.552
1,993003,2026-03-01T04:00:01.577
2,18831,2026-03-01T04:00:01.577
